skill_id,name_zh,param_07,param_07_note,item_cid,param_09,param_16,bindings_skill_cid,bindings_skill_cid_dedupe,bindings_item_cid,bindings_item_cid_dedupe,skill_log_price_keys,random_avg_role,outline_hitbox_role,hero_scan_quality,map_force_quality
200015,竞拍信息,1,竞拍信息,,[5],[3000],q5_grid_avg<=AllHitItemAvgBoxIndex(float),q5_grid_avg<=AllHitItemAvgBoxIndex[主线],,,,,,,
200016,竞拍信息,1,竞拍信息,,[6],[3000],q6_grid_avg<=AllHitItemAvgBoxIndex(float),q6_grid_avg<=AllHitItemAvgBoxIndex[主线],,,,,,,
200017,竞拍信息,1,竞拍信息,,[0],[4000],total_count<=HitItemIndex(int),total_count<=HitItemIndex[主线],,,,,,,
200018,竞拍信息,1,竞拍信息,,[4],[4000],q4_count<=HitItemIndex(int),q4_count<=HitItemIndex[主线],,,,,,,
200019,竞拍信息,1,竞拍信息,,[5],[4000],q5_count<=HitItemIndex(int),q5_count<=HitItemIndex[主线],,,,,,,
200020,竞拍信息,1,竞拍信息,,[6],[4000],q6_count<=HitItemIndex(int),q6_count<=HitItemIndex[主线],,,,,,,
200021,竞拍信息,1,竞拍信息,,[0],[6000],,,,,,,,,
200022,竞拍信息,1,竞拍信息,,[0],[6000],,,,,,,,,
200023,竞拍信息,1,竞拍信息,,[0],[6000],,,,,,,,,
200024,竞拍信息,1,竞拍信息,,[0],[6000],,,,,,,,,
200025,竞拍信息,1,竞拍信息,,[0],[6000],,,,,,,,,
200026,竞拍信息,1,竞拍信息,,[0],[7000],,,,,,,,,
200027,竞拍信息,1,竞拍信息,,[0],[7000],,,,,,,,,
200028,竞拍信息,1,竞拍信息,,[0],[7000],,,,,,,,,
200029,竞拍信息,1,竞拍信息,,[0],[7000],,,,,,,,,
200030,竞拍信息,1,竞拍信息,,[0],[7000],,,,,,,,,
200031,竞拍信息,1,竞拍信息,,[0],[8000],,,,,,random_avg_price_min 推理: AllHitItemAvgPrice×HitItemIndex （与 n=3 件随机轮廓技能合并取上界，见 raw_pricing）,,,
200032,竞拍信息,1,竞拍信息,,[0],[8000],,,,,,random_avg_price_min 推理: AllHitItemAvgPrice×HitItemIndex （与 n=6 件随机轮廓技能合并取上界，见 raw_pricing）,,,
200033,竞拍信息,1,竞拍信息,,[0],[8000],,,,,,random_avg_price_min 推理: AllHitItemAvgPrice×HitItemIndex （与 n=9 件随机轮廓技能合并取上界，见 raw_pricing）,,,
200034,竞拍信息,1,竞拍信息,,[0],[8000],,,,,,random_avg_price_min 推理: AllHitItemAvgPrice×HitItemIndex （与 n=12 件随机轮廓技能合并取上界，见 raw_pricing）,,,
200035,竞拍信息,1,竞拍信息,,[0],[8000],,,,,,,,,
200036,竞拍信息,1,竞拍信息,,[4],[8000],,,,,q4_price_avg<=AllHitItemAvgPrice,,,,
200037,竞拍信息,1,竞拍信息,,[5],[8000],,,,,q5_price_avg<=AllHitItemAvgPrice,,,,
200038,竞拍信息,1,竞拍信息,,[6],[8000],,,,,q6_price_avg<=AllHitItemAvgPrice,,,,
200039,竞拍信息,1,竞拍信息,,[0],[1000],,,,,,,,,
200040,竞拍信息,1,竞拍信息,,"[2,101,100,102,100,103,100,104,100,105,100,106,100,107,100,108,100,109,100,110,100]",[7000],,,,,,,,,
200041,竞拍信息,1,竞拍信息,,"[4,101,100,102,100,103,100,104,100,105,100,106,100,107,100,108,100,109,100,110,100]",[7000],,,,,,,,,
200042,竞拍信息,1,竞拍信息,,"[6,101,100,102,100,103,100,104,100,105,100,106,100,107,100,108,100,109,100,110,100]",[7000],,,,,,,,,
200043,竞拍信息,1,竞拍信息,,"[1,101,100,102,100,103,100,104,100,105,100,106,100,107,100,108,100,109,100,110,100]",[8000],,,,,,,,,
200044,竞拍信息,1,竞拍信息,,"[1,101,100,102,100,103,100,104,100,105,100,106,100,107,100,108,100,109,100,110,100]",[10000],,,,,,,,,
200045,竞拍信息,1,竞拍信息,,"[1,101,100,102,100,103,100,104,100,105,100,106,100,107,100,108,100,109,100,110,100]",[4000],,,,,,,,,
200046,竞拍信息,1,竞拍信息,,"[1,101,100,102,100,103,100,104,100,105,100,106,100,107,100,108,100,109,100,110,100]",[7000],,,,,,,,,
200047,竞拍信息,1,竞拍信息,,"[1,101,100,102,100,103,100,104,100,105,100,106,100,107,100,108,100,109,100,110,100]",[6000],,,,,,,,,
200048,竞拍信息,1,竞拍信息,,"[0,0,1,1]",[6000],,,,,,,,,
200049,竞拍信息,1,竞拍信息,,"[0,0,3,1]",[6000],,,,,,,,,
200050,竞拍信息,1,竞拍信息,,"[0,0,2,1]",[6000],,,,,,,,,
200051,竞拍信息,1,竞拍信息,,"[0,0,6,2]",[6000],,,,,,,,,
200052,竞拍信息,1,竞拍信息,,"[0,0,1,1]",[12000],,,,,,,,,
1001011,法蒂玛,0,其它/未归类,,[106],[1000],,,,,,,,,
1001012,法蒂玛,0,其它/未归类,,[106],[7000],,,,,,,,,
1001013,法蒂玛,0,其它/未归类,,[106],[1000],,,,,,,,,
1001014,法蒂玛,0,其它/未归类,,[106],[7000],,,,,,,,,
1001031,艾莎,0,其它/未归类,,[4],"[1000,7000]",,,,,,,,4,
1001032,艾莎,0,其它/未归类,,[3],"[1000,7000]",,,,,,,,3,
1001033,艾莎,0,其它/未归类,,[2],"[1000,7000]",,,,,,,,2,
1001034,艾莎,0,其它/未归类,,[1],"[1000,7000]",,,,,,,,1,
1001041,加布里埃拉,0,其它/未归类,,"[2,2,2]","[1000,7000]",,,,,,,,,
1001042,加布里埃拉,0,其它/未归类,,"[2,2,2]","[1000,7000]",,,,,,,,,
1001043,加布里埃拉,0,其它/未归类,,"[2,2,2]","[1000,7000]",,,,,,,,,
1001044,加布里埃拉,0,其它/未归类,,"[2,2,2]","[1000,7000]",,,,,,,,,
1001045,加布里埃拉,0,其它/未归类,,"[2,2,2]","[1000,7000]",,,,,,,,,
1001061,娜奥米,0,其它/未归类,,"[103,107]",[1000],,,,,,,,,
1001071,索菲,0,其它/未归类,,"[0,2,0]",[7000],,,,,,,,,
1001072,索菲,0,其它/未归类,,"[0,2,0]",[7000],,,,,,,,,
1001073,索菲,0,其它/未归类,,"[0,2,0]",[7000],,,,,,,,,
1001074,索菲,0,其它/未归类,,"[0,2,0]",[7000],,,,,,,,,
1001091,海琳娜,0,其它/未归类,,[102],[1000],,,,,,,,,
1001092,海琳娜,0,其它/未归类,,[102],[1000],,,,,,,,,
1001093,海琳娜,0,其它/未归类,,[102],[1000],,,,,,,,,
1001094,海琳娜,0,其它/未归类,,[102],[1000],,,,,,,,,
1001101,伊莎贝拉,0,其它/未归类,,[105],[1000],,,,,,,,,
1002021,卡洛斯,0,其它/未归类,,"[101,107]",[7000],,,,,,,,,
1002022,卡洛斯,0,其它/未归类,,"[101,107]",[7000],,,,,,,,,
1002023,卡洛斯,0,其它/未归类,,"[101,107]",[7000],,,,,,,,,
1002024,卡洛斯,0,其它/未归类,,"[101,107]",[7000],,,,,,,,,
1002041,艾哈迈德,0,其它/未归类,,[5],[3000],q5_grid_avg<=AllHitItemAvgBoxIndex(float),q5_grid_avg<=AllHitItemAvgBoxIndex[旁路],,,,,,,
1002042,艾哈迈德,0,其它/未归类,,[4],[3000],q4_grid_avg<=AllHitItemAvgBoxIndex(float),q4_grid_avg<=AllHitItemAvgBoxIndex[旁路],,,,,,,
1002043,艾哈迈德,0,其它/未归类,,[3],[3000],q3_grid_avg<=AllHitItemAvgBoxIndex(float),q3_grid_avg<=AllHitItemAvgBoxIndex[主线],,,,,,,
1002044,艾哈迈德,0,其它/未归类,,"[1,2]",[4000],q12_count<=HitItemIndex(int),q12_count<=HitItemIndex[主线],,,,,,,
1002061,武田宏志,0,其它/未归类,,[110],[1000],,,,,,,,,
1002062,武田宏志,0,其它/未归类,,[110],[7000],,,,,,,,,
1002063,武田宏志,0,其它/未归类,,[110],[7000],,,,,,,,,
1002064,武田宏志,0,其它/未归类,,[110],[7000],,,,,,,,,
1002065,武田宏志,0,其它/未归类,,[110],[7000],,,,,,,,,
1002081,伊森,0,其它/未归类,,"[5,101,100,102,100,103,100,104,100,105,100,106,100,107,100,108,100,109,100,110,100]",[1000],,,,,,,,,
1002082,伊森,0,其它/未归类,,"[0,1,0]",[1000],,,,,,,,,
1002083,伊森,0,其它/未归类,,"[0,1,0]",[1000],,,,,,,,,
1002084,伊森,0,其它/未归类,,"[0,1,0]",[1000],,,,,,,,,
1002085,伊森,0,其它/未归类,,[0],[1000],,,,,,,,,
10002031,莱昂纳德,0,其它/未归类,,[106],[7000],,,,,,,,,
10002071,吴起灵,0,其它/未归类,,[106],[1000],,,,,,,,,
10002072,吴起灵,0,其它/未归类,,[106],[7000],,,,,,,,,
10002073,吴起灵,0,其它/未归类,,[106],[6000],,,,,,,,,
10010801,玛丽亚,0,其它/未归类,,"[1,2,3]",[7000],,,,,,,,,
